Lp.;Oddział;Województwo;Zarządca;Miejscowość;Dane identyfikacyjne;Obecna Kategoria;Kat_docel;x;y;Klasa techniczna drogi;Nr drogi;Pikietaż;Kierunek;Parking Osobowe;Parking Ciężarowe;Parking Autobus;Toalety;Stacja paliw;Restauracja /Bistro;Miejsca noclegowe;Ładowanie pojazdów elektrycznych;Ochrona;Ogrodzenie;Monitoring wideo;Oświetlenie;Miejsca dla pojazdów z ładunkiem niebezpiecznym;Myjnia;Warsztat;Miejsca zrzutu nieczystości płynnych;Prysznic;Możliwość tankowania wodorem;Możliwość tankowania CNG;Możliwość tankowania LNG;Rampy do odśnieżania
133;Lublin;lubelskie;GDDKiA;Zemborzyce;Zemborzyce;MOP funkcja podstawowa;MOP funkcja podstawowa;51.1889;22.4354;S;19;11+950;Lublin;47;20;3;tak;nie;nie;nie;nie;nie;tak;nie;tak;tak;nie;nie;tak;tak;nie;nie;nie;nie
134;Lublin;lubelskie;GDDKiA;Radawiec;Radawiec;MOP funkcja podstawowa;MOP funkcja podstawowa;51.1914;22.435;S;19;11+700;Rzeszów;47;20;3;tak;nie;nie;nie;nie;nie;tak;nie;tak;tak;nie;nie;tak;tak;nie;nie;nie;nie
135;Lublin;lubelskie;GDDKiA;Rudnik;Rudnik Zachód;MOP funkcja podstawowa;MOP funkcja podstawowa;50.9664;22.2885;S;19;40+600;Rzeszów;39;17;3;tak;nie;nie;nie;nie;nie;tak;nie;tak;tak;nie;nie;tak;tak;nie;nie;nie;nie
136;Lublin;lubelskie;GDDKiA;Rudnik;Rudnik Wschód;MOP funkcja podstawowa;MOP funkcja podstawowa;50.9649;22.2898;S;19;40+700;Lublin;47;20;3;tak;nie;nie;nie;nie;nie;tak;nie;tak;tak;nie;nie;tak;tak;nie;nie;nie;nie
137;Lublin;lubelskie;GDDKiA;Słodków;Słodków Wschód;MOP funkcja podstawowa;MOP funkcja podstawowa;50.8786;22.2651;S;19;51+450;Lublin;53;27;4;tak;nie;nie;nie;nie;nie;tak;nie;tak;tak;nie;nie;tak;tak;nie;nie;nie;nie
138;Lublin;lubelskie;GDDKiA;Słodków;Słodków Zachód;MOP funkcja podstawowa;MOP funkcja podstawowa;50.8757;22.2639;S;19;51+750;Rzeszów;80;33;5;tak;nie;nie;nie;nie;nie;tak;nie;tak;tak;nie;nie;tak;tak;nie;nie;nie;nie
139;Łódź;łódzkie;GDDKiA;Krzyżanów;Krzyżanów Zachód;MOP funkcja komercyjna;MOP funkcja komercyjna;52.184595;19.485525;A;1;258+500;Katowice;60;55;10;tak;tak;tak;nie;tak;nie;tak;tak;tak;tak;nie;nie;tak;tak;nie;nie;nie;nie
140;Łódź;łódzkie;GDDKiA;Krzyżanów;Krzyżanów Wschód;MOP funkcja komercyjna;MOP funkcja komercyjna;52.184309;19.489093;A;1;258+500;Gdańsk;80;31;10;tak;tak;tak;nie;tak;nie;tak;tak;tak;tak;nie;nie;tak;tak;nie;nie;nie;nie
141;Łódź;łódzkie;GDDKiA;Głowno;Głowno Zachód;MOP funkcja podstawowa;MOP funkcja podstawowa;52.005359;19.542748;A;1;279+200;Katowice;26;42;8;tak;nie;nie;nie;tak;nie;tak;nie;tak;nie;nie;nie;nie;nie;nie;nie;nie;nie
142;Łódź;łódzkie;GDDKiA;Głowno;Głowno Wschód;MOP funkcja podstawowa;MOP funkcja podstawowa;52.007587;19.544862;A;1;279+200;Gdańsk;28;40;8;tak;nie;nie;nie;tak;nie;tak;nie;tak;tak;nie;nie;nie;nie;nie;nie;nie;nie
143;Łódź;łódzkie;GDDKiA;Nowosolna;Skoszewy Wschód;MOP funkcja podstawowa;MOP funkcja podstawowa;51.841952;19.661346;A;1;299+700;Gdańsk;60;37;5;tak;nie;nie;nie;tak;nie;tak;nie;tak;nie;nie;nie;tak;tak;nie;nie;nie;nie
144;Łódź;łódzkie;GDDKiA;Nowosolna;Skoszewy Zachód;MOP funkcja podstawowa;MOP funkcja podstawowa;51.841877;19.656879;A;1;299+700;Katowice;60;39;5;tak;nie;nie;nie;tak;nie;tak;nie;tak;nie;nie;nie;tak;tak;nie;nie;nie;nie
145;Łódź;łódzkie;GDDKiA;Łódź;Wiśniowa Góra Wschód;MOP funkcja komercyjna;MOP funkcja komercyjna;51.702524;19.605316;A;1;316+500;Gdańsk;122;20;4;tak;tak;tak;nie;tak;nie;tak;tak;tak;tak;nie;nie;tak;tak;nie;nie;nie;nie
146;Łódź;łódzkie;GDDKiA;Łódź;Wiśniowa Góra Zachód;MOP funkcja komercyjna;MOP funkcja komercyjna;51.703078;19.602474;A;1;316+500;Katowice;116;20;4;tak;tak;tak;nie;tak;nie;tak;tak;tak;tak;nie;nie;tak;tak;nie;nie;nie;nie
147;Łódź;łódzkie;GDDKiA;Stobiecko Szlacheckie;Stobiecko Szlacheckie Zachód;MOP funkcja komercyjna;MOP funkcja komercyjna;51.1092708;19.3900203;A;1;388+800;Katowice;128;44;8;tak;tak;tak;nie;tak;nie;tak;tak;tak;tak;nie;nie;tak;tak;nie;nie;nie;tak
148;Łódź;łódzkie;GDDKiA;Stobiecko Szlacheckie;Stobiecko Szlacheckie Wschód;MOP funkcja komercyjna;MOP funkcja komercyjna;51.10720645;19.39126775;A;1;388+800;Łódź;169;46;8;tak;tak;tak;nie;tak;nie;tak;tak;tak;tak;nie;nie;tak;tak;nie;nie;nie;tak
149;Łódź;łódzkie;GDDKiA;Słostowice;Słostowice;MOP funkcja podstawowa;MOP funkcja komercyjna;51.17923643;19.46996617;A;1;379+200;Łódź;80;50;10;tak;nie;nie;nie;nie;nie;tak;nie;tak;tak;nie;nie;tak;tak;nie;nie;nie;nie
150;Łódź;łódzkie;GDDKiA;Świnice Warckie;Kozanki;MOP funkcja podstawowa;MOP funkcja podstawowa;52.035297;18.879881;A;2;307+900;Poznań;35;20;0;tak;nie;nie;nie;tak;nie;tak;nie;tak;nie;nie;nie;nie;nie;nie;nie;nie;nie
151;Łódź;łódzkie;GDDKiA;Uniejów;Zaborów;MOP funkcja podstawowa;MOP funkcja podstawowa;52.034345;18.876412;A;2;307+900;Warszawa;28;20;0;tak;nie;nie;nie;tak;nie;tak;nie;tak;nie;nie;nie;nie;nie;nie;nie;nie;nie
152;Łódź;łódzkie;GDDKiA;Parzęczew;Chrząstów Północ;MOP funkcja komercyjna;MOP funkcja komercyjna;51.944948;19.179229;A;2;331+000;Poznań;114;37;0;tak;tak;tak;nie;tak;nie;tak;tak;tak;tak;nie;nie;tak;tak;nie;nie;nie;nie
153;Łódź;łódzkie;GDDKiA;Parzęczew;Chrząstów Południe;MOP funkcja komercyjna;MOP funkcja komercyjna;51.944496;19.176163;A;2;331+000;Warszawa;158;55;0;tak;tak;tak;tak;tak;nie;tak;tak;tak;tak;nie;nie;tak;tak;nie;nie;nie;nie
154;Łódź;łódzkie;GDDKiA;Zgierz;Ciosny Północ;MOP funkcja podstawowa;MOP funkcja podstawowa;51.919947;19.409592;A;2;347+200;Poznań;33;16;0;tak;nie;nie;nie;nie;nie;tak;nie;tak;nie;nie;nie;nie;nie;nie;nie;nie;nie
155;Łódź;łódzkie;GDDKiA;Zgierz;Ciosny Południe;MOP funkcja podstawowa;MOP funkcja podstawowa;51.918124;19.407123;A;2;347+200;Warszawa;33;34;0;tak;nie;nie;nie;nie;nie;tak;nie;tak;nie;nie;nie;nie;nie;nie;nie;nie;nie
156;Łódź;łódzkie;GDDKiA;Dmosin;Nowostawy;MOP funkcja komercyjna;MOP funkcja komercyjna;51.900043;19.704353;A;2;368+550;Poznań;226;60;25;tak;tak;tak;tak;tak;nie;tak;tak;tak;tak;nie;nie;tak;tak;nie;nie;nie;nie
157;Łódź;łódzkie;GDDKiA;Dmosin;Niesułków;MOP funkcja komercyjna;MOP funkcja komercyjna;51.897653;19.708325;A;2;368+550;Warszawa;158;45;16;tak;tak;tak;nie;tak;nie;tak;tak;tak;tak;nie;nie;tak;tak;nie;nie;nie;nie
158;Łódź;łódzkie;GDDKiA;Łyszkowice;Parma;MOP funkcja komercyjna;MOP funkcja komercyjna;52.029285;20.001995;A;2;393+850;Poznań;147;45;15;tak;tak;tak;nie;nie;nie;tak;tak;tak;tak;nie;nie;tak;tak;nie;nie;nie;nie
159;Łódź;łódzkie;GDDKiA;Łyszkowice;Polesie;MOP funkcja komercyjna;MOP funkcja komercyjna;52.026923;20.005046;A;2;393+850;Warszawa;148;45;15;tak;tak;tak;nie;nie;nie;tak;tak;tak;tak;nie;nie;tak;tak;nie;nie;nie;nie
160;Łódź;łódzkie;GDDKiA;Bolimów;Bolimów;MOP funkcja podstawowa;MOP funkcja podstawowa;52.07615;20.236114;A;2;410+900;Poznań;34;16;2;tak;nie;nie;nie;tak;nie;tak;nie;tak;tak;nie;nie;tak;nie;nie;nie;nie;nie
161;Łódź;łódzkie;GDDKiA;Bolimów;Mogiły;MOP funkcja podstawowa;MOP funkcja podstawowa;52.074216;20.238134;A;2;410+900;Warszawa;34;16;2;tak;nie;nie;nie;tak;nie;tak;nie;tak;tak;nie;nie;tak;nie;nie;nie;nie;nie
162;Łódź;łódzkie;GDDKiA;Chojny;Chojny Południe;MOP funkcja komercyjna;MOP funkcja komercyjna;51.356508;18.525494;S;8;140+655;Łódź;86;23;8;tak;tak;tak;nie;nie;tak;tak;tak;tak;tak;nie;nie;nie;tak;nie;nie;nie;nie
163;Łódź;łódzkie;GDDKiA;Chojny;Chojny Północ;MOP funkcja podstawowa;MOP funkcja podstawowa;51.357881;18.522756;S;8;140+655;Wrocław;45;23;8;tak;nie;nie;nie;tak;tak;tak;nie;tak;nie;nie;nie;nie;tak;nie;nie;nie;nie
164;Łódź;łódzkie;GDDKiA;Dąbrowa Wielka Sieradz;Dąbrowa Wielka Wschód;MOP funkcja podstawowa;MOP funkcja podstawowa;51.527318;18.697538;S;8;165+055;Łódź;55;22;8;tak;nie;nie;nie;tak;tak;tak;nie;tak;nie;nie;nie;nie;tak;nie;nie;nie;nie
165;Łódź;łódzkie;GDDKiA;Dąbrowa Wielka Sieradz;Dąbrowa Wielka Zachód;MOP funkcja komercyjna;MOP funkcja komercyjna;51.527766;18.6935;S;8;165+055;Wrocław;106;22;8;tak;tak;tak;nie;nie;tak;tak;tak;tak;tak;nie;nie;nie;tak;nie;nie;nie;nie
166;Łódź;łódzkie;GDDKiA;Paprotnia;Paprotnia Południe;MOP funkcja komercyjna;MOP funkcja komercyjna;51.574071;18.936809;S;8;186+055;Łódź;104;26;4;tak;tak;tak;nie;tak;nie;tak;tak;tak;tak;nie;nie;nie;tak;nie;nie;nie;nie
167;Łódź;łódzkie;GDDKiA;Paprotnia;Paprotnia Północ;MOP funkcja podstawowa;MOP funkcja podstawowa;51.576633;18.938623;S;8;186+055;Wrocław;55;22;8;tak;nie;nie;nie;nie;nie;tak;nie;tak;nie;nie;nie;nie;tak;nie;nie;nie;nie
168;Łódź;łódzkie;GDDKiA;Sięganów Łask;Sięganów Południe;MOP funkcja podstawowa;MOP funkcja podstawowa;51.552118;19.087808;S;8;196+857;Łódź;60;23;7;tak;nie;nie;nie;nie;nie;tak;nie;tak;nie;nie;nie;nie;tak;nie;nie;nie;nie
169;Łódź;łódzkie;GDDKiA;Sięganów Łask;Sięganów Północ;MOP funkcja komercyjna;MOP funkcja komercyjna;51.554659;19.088576;S;8;196+857;Wrocław;131;25;5;tak;tak;tak;nie;nie;nie;tak;tak;tak;Tak;nie;nie;nie;tak;nie;nie;nie;nie
170;Łódź;łódzkie;GDDKiA;Rzgów;Guzew Północ;MOP funkcja podstawowa;MOP funkcja podstawowa;51.634416;19.43715;S;8;223+389;Wrocław;50;22;8;tak;nie;nie;nie;tak;nie;tak;nie;tak;nie;nie;nie;nie;tak;nie;nie;nie;nie
171;Łódź;łódzkie;GDDKiA;Rzgów;Guzew Południe;MOP funkcja komercyjna;MOP funkcja komercyjna;51.632289;19.439092;S;8;223+389;Warszawa;70;25;5;tak;tak;tak;nie;tak;nie;tak;tak;tak;tak;nie;nie;tak;tak;nie;nie;nie;tak
172;Łódź;łódzkie;Prywatny;Piotrków Tryb;OOUR;Parking prywatny;Parking prywatny;51.441124;19.6796;S;8;327+500;Warszawa;15;10;0;tak;tak;tak;nie;nie;nie;tak;tak;nie;nie;nie;nie;nie;tak;nie;nie;tak;nie
173;Łódź;łódzkie;Prywatny;Piotrków Tryb;OOUR;Parking prywatny;Parking prywatny;51.441497;19.681511;S;8;327+600;Warszawa;70;0;15;tak;nie;tak;nie;nie;nie;tak;tak;tak;nie;nie;nie;nie;tak;nie;nie;nie;nie
174;Łódź;łódzkie;Prywatny;Proszenie;OOUR;Parking prywatny;Parking prywatny;51.459189;19.781038;S;8;335+100;Warszawa;50;40;20;tak;nie;tak;tak;nie;nie;tak;tak;tak;nie;nie;nie;nie;tak;nie;nie;nie;nie
175;Łódź;łódzkie;Prywatny;Studzianki;OOUR;Parking prywatny;Parking prywatny;51.502445;19.870326;S;8;343+100;Warszawa;15;30;10;tak;tak;tak;nie;nie;nie;tak;tak;tak;nie;nie;nie;nie;tak;nie;nie;nie;nie
176;Łódź;łódzkie;Prywatny;Studzianki;OOUR;Parking prywatny;Parking prywatny;51.504698;19.878609;S;8;343+750;Warszawa;30;20;10;tak;nie;tak;tak;tak;nie;tak;tak;nie;nie;nie;nie;nie;tak;nie;nie;nie;nie
177;Łódź;łódzkie;Prywatny;Studzianki;OOUR;Parking prywatny;Parking prywatny;51.505812;19.887766;S;8;344+400;Warszawa;69;22;8;tak;nie;tak;tak;tak;nie;tak;tak;tak;nie;nie;nie;nie;tak;nie;nie;nie;nie
178;Łódź;łódzkie;Prywatny;Lechów;OOUR;Parking prywatny;Parking prywatny;51.642644;20.13215;S;8;367+720;Warszawa;15;15;5;tak;tak;tak;nie;nie;nie;tak;tak;tak;nie;nie;nie;nie;tak;nie;nie;nie;nie
179;Łódź;łódzkie;Prywatny;Wólka Jagielczyńska;OOUR;Parking prywatny;Parking prywatny;51.679437;20.191834;S;8;373+660;Warszawa;45;10;5;tak;tak;tak;nie;nie;nie;tak;tak;tak;nie;nie;nie;nie;tak;nie;nie;nie;nie
180;Łódź;łódzkie;Prywatny;Podlas;OOUR;Parking prywatny;Parking prywatny;51.73386;20.231716;S;8;380+530;Warszawa;20;0;8;tak;nie;tak;tak;nie;nie;tak;tak;tak;nie;nie;nie;nie;tak;nie;nie;nie;nie
181;Łódź;łódzkie;Prywatny;Podlas;OOUR;Parking prywatny;Parking prywatny;51.734378;20.231939;S;8;380+660;Warszawa;16;5;2;tak;tak;tak;nie;nie;nie;tak;tak;tak;nie;nie;nie;nie;tak;nie;nie;nie;nie
182;Łódź;łódzkie;Prywatny;Proszenie;OOUR;Parking prywatny;Parking prywatny;51.460242;19.779725;S;8;335+050;Wrocław;20;9;0;tak;tak;tak;nie;nie;nie;tak;tak;tak;nie;nie;nie;nie;tak;nie;nie;nie;nie
183;Łódź;łódzkie;Prywatny;Proszenie;OOUR;Parking prywatny;Parking prywatny;51.46088;19.780543;S;8;335+170;Wrocław;300;0;50;tak;nie;tak;tak;tak;tak;tak;tak;tak;nie;nie;nie;nie;tak;nie;nie;nie;nie
184;Łódź;łódzkie;Prywatny;Wolbórz;OOUR;Parking prywatny;Parking prywatny;51.494916;19.83917;S;8;340+800;Wrocław;20;30;10;tak;nie;tak;nie;nie;nie;tak;tak;tak;nie;nie;nie;nie;tak;nie;nie;nie;nie
185;Łódź;łódzkie;Prywatny;Studzianki;OOUR;Parking prywatny;Parking prywatny;51.505367;19.874648;S;8;343+500;Wrocław;20;30;10;tak;tak;tak;nie;nie;nie;tak;tak;nie;nie;nie;nie;nie;tak;nie;nie;nie;nie
186;Łódź;łódzkie;Prywatny;Studzianki;OOUR;Parking prywatny;Parking prywatny;51.514996;19.905792;S;8;346+000;Wrocław;25;11;3;tak;tak;tak;nie;nie;nie;tak;tak;tak;nie;nie;nie;nie;tak;nie;nie;nie;nie
187;Łódź;łódzkie;Prywatny;Jadwigów;OOUR;Parking prywatny;Parking prywatny;51.524232;19.934851;S;8;348+300;Wrocław;15;15;10;tak;nie;tak;nie;tak;nie;tak;nie;tak;nie;nie;nie;nie;tak;nie;nie;nie;nie
188;Łódź;łódzkie;Prywatny;Jakubów;OOUR;Parking prywatny;Parking prywatny;51.589477;20.040135;S;8;358+900;Wrocław;40;50;10;tak;nie;tak;tak;nie;nie;tak;nie;nie;nie;nie;nie;nie;tak;nie;nie;nie;nie
189;Łódź;łódzkie;Prywatny;Czerniewice;OOUR;Parking prywatny;Parking prywatny;51.65732;20.15251;S;8;369+940;Wrocław;35;19;5;tak;tak;tak;nie;nie;nie;tak;tak;tak;nie;nie;nie;nie;tak;nie;nie;nie;nie
190;Łódź;łódzkie;Prywatny;Wólka Jagielczyńska;OOUR;Parking prywatny;Parking prywatny;51.67143;20.178425;S;8;372+500;Wrocław;15;8;2;tak;tak;tak;nie;nie;nie;tak;tak;tak;nie;nie;nie;nie;tak;nie;nie;nie;nie
191;Łódź;łódzkie;Prywatny;Podlas;OOUR;Parking prywatny;Parking prywatny;51.735964;20.231053;S;8;380+800;Wrocław;35;8;7;tak;tak;tak;nie;nie;nie;tak;tak;tak;nie;nie;nie;nie;tak;nie;nie;nie;nie
192;Łódź;łódzkie;Prywatny;Huta Zawadzka;OOUR;Parking prywatny;Parking prywatny;51.927085;20.463152;S;8;408+100;Wrocław;15;15;0;tak;tak;tak;nie;tak;nie;tak;tak;tak;nie;nie;nie;nie;tak;nie;nie;nie;nie
193;Olsztyn;warmińsko - mazurskie;Prywatny;Nowe Pole;OOUR;Parking prywatny;Parking prywatny;54.137013;19.415825;S;7;80+490;Warszawa;80;20;5;tak;tak;tak;tak;tak;nie;tak;tak;tak;tak;tak;nie;tak;tak;nie;nie;nie;nie
194;Olsztyn;warmińsko - mazurskie;Prywatny;Elbląg;OOUR;Parking prywatny;Parking prywatny;54.135487;19.452887;S;7g;0+525;Warszawa;20;5;5;tak;tak;tak;tak;nie;nie;nie;tak;tak;nie;nie;nie;nie;nie;nie;nie;nie;nie
195;Olsztyn;warmińsko - mazurskie;Prywatny;Rzeczna;OOUR;Parking prywatny;Parking prywatny;54.07884;19.611714;S;7g;13+622;Gdańsk;13;5;0;tak;tak;tak;nie;nie;tak;nie;tak;tak;nie;nie;nie;nie;nie;nie;nie;nie;nie
196;Olsztyn;warmińsko - mazurskie;GDDKiA;Sople;Sople Wschód;MOP funkcja komercyjna;MOP funkcja komercyjna;53.890231;19.735382;S;7g;36+980;Gdańsk;106;35;5;tak;tak;tak;nie;tak;nie;tak;tak;tak;tak;nie;nie;tak;tak;nie;nie;nie;nie
197;Olsztyn;warmińsko - mazurskie;GDDKiA;Sople;Sople Zachód;MOP funkcja komercyjna;MOP funkcja komercyjna;53.882447;19.73307;S;7g;37+510;Warszawa;130;28;5;tak;tak;tak;nie;tak;nie;tak;tak;tak;tak;nie;nie;tak;tak;nie;nie;nie;nie
198;Olsztyn;warmińsko - mazurskie;GDDKiA;Liksajny;Liksajny;MOP funkcja podstawowa;MOP funkcja podstawowa;53.806729;19.788719;S;7g;47+270;Gdańsk;121;17;6;tak;nie;nie;nie;nie;nie;tak;nie;tak;nie;nie;nie;nie;nie;nie;nie;nie;tak
199;Olsztyn;warmińsko - mazurskie;GDDKiA;Majdany Wielkie;Majdany Wielkie;MOP funkcja podstawowa;MOP funkcja podstawowa;53.800146;19.790754;S;7g;47+515;Warszawa;114;17;6;tak;nie;nie;nie;tak;nie;tak;nie;tak;nie;nie;nie;nie;nie;nie;nie;nie;tak
200;Olsztyn;warmińsko - mazurskie;GDDKiA;Grabin;Grabin Wschód;MOP funkcja podstawowa;MOP funkcja podstawowa;53.638844;20.043437;S;7g;73+800;Warszawa;118;17;6;tak;nie;nie;nie;nie;tak;tak;nie;tak;tak;nie;nie;nie;nie;nie;nie;nie;nie
201;Olsztyn;warmińsko - mazurskie;GDDKiA;Grabin;Grabin Zachód;MOP funkcja podstawowa;MOP funkcja podstawowa;53.639339;20.045644;S;7g;74+400;Gdańsk;118;17;6;tak;nie;nie;nie;nie;tak;tak;nie;tak;tak;nie;nie;nie;nie;nie;nie;nie;nie
202;Olsztyn;warmińsko - mazurskie;GDDKiA;Lutek;Lutek;MOP funkcja podstawowa;MOP funkcja podstawowa;53.514906;20.298163;S;7j;10+227;Gdańsk;35;24;3;tak;nie;nie;nie;tak;tak;tak;nie;tak;nie;nie;nie;nie;nie;nie;nie;nie;nie
203;Olsztyn;warmińsko - mazurskie;Prywatny;Witramowo;OOUR;Parking prywatny;Parking prywatny;53.480549;20.320462;S;7j;14+085;Warszawa;100;70;0;tak;tak;tak;nie;nie;nie;tak;tak;tak;nie;nie;nie;tak;tak;nie;nie;nie;nie
204;Olsztyn;warmińsko - mazurskie;Prywatny;Ostróda;OOUR;Parking prywatny;Parking prywatny;53.708806;19.978444;s;7g;64+340;Gdańsk;100;30;10;tak;tak;tak;nie;tak;tak;tak;tak;tak;tak;nie;nie;tak;tak;nie;nie;nie;nie
205;Olsztyn;warmińsko - mazurskie;GDDKiA;Pawliki;Pawliki Wschód;MOP funkcja komercyjna;MOP funkcja komercyjna;53.29981;20.43706;S;7j;38+000;Gdańsk;74;34;3;tak;tak;tak;nie;tak;nie;nie;tak;tak;nie;nie;nie;tak;tak;nie;nie;nie;nie
206;Olsztyn;warmińsko - mazurskie;GDDKiA;Pawliki;Pawliki Zachód;MOP funkcja komercyjna;MOP funkcja komercyjna;53.299722;20.43546;S;7j;38+000;Warszawa;74;34;3;tak;tak;tak;nie;nie;tak;tak;tak;tak;tak;nie;nie;tak;tak;nie;nie;nie;nie
207;Olsztyn;warmińsko - mazurskie;GDDKiA;Olsztynek;Olsztynek Północ;MOP funkcja komercyjna;MOP funkcja komercyjna;53.58366;20.1813;S;7j;86+300;Gdańsk;74;34;3;tak;tak;tak;nie;nie;tak;tak;tak;tak;tak;nie;nie;tak;tak;nie;nie;nie;nie
208;Olsztyn;warmińsko - mazurskie;GDDKiA;Olsztynek;Olsztynek Południe;MOP funkcja komercyjna;MOP funkcja komercyjna;53.582197;20.181033;S;7j;86+300;Warszawa;65;30;6;tak;tak;tak;nie;tak;tak;tak;tak;tak;tak;nie;nie;tak;tak;nie;nie;nie;nie
209;Olsztyn;warmińsko - mazurskie;GDDKiA;Niekrasy;Niekrasy Wschód;MOP funkcja podstawowa;MOP funkcja komercyjna;53.742681;22.300431;S;61;120+204;Ełk;53;23;4;tak;nie;nie;nie;nie;nie;tak;tak;tak;tak;nie;nie;tak;tak;nie;nie;nie;nie
210;Olsztyn;warmińsko - mazurskie;GDDKiA;Niekrasy;Niekrasy Zachód;MOP funkcja podstawowa;MOP funkcja komercyjna;53.743775;22.298743;S;61;120+204;Ostrów Mazowiecka;53;23;4;tak;nie;nie;nie;nie;nie;tak;tak;tak;tak;nie;nie;tak;tak;nie;nie;nie;nie
211;Opole;opolskie;GDDKiA;Wierzbnik;Wierzbnik;MOP funkcja podstawowa;MOP funkcja podstawowa;50.764635;17.412521;A;4;198+810;Katowice;52;25;0;tak;nie;nie;nie;tak;tak;tak;nie;tak;nie;nie;nie;tak;tak;nie;nie;nie;nie
212;Opole;opolskie;GDDKiA;Jankowice Wielkie;Jankowice Wielkie;MOP funkcja podstawowa;MOP funkcja podstawowa;50.756336;17.433439;A;4;200+960;Wrocław;53;51;0;tak;nie;nie;nie;tak;tak;tak;nie;tak;nie;nie;nie;tak;tak;nie;nie;nie;tak
213;Opole;opolskie;GDDKiA;Młyński Staw;Młyński Staw;MOP funkcja komercyjna;MOP funkcja komercyjna;50.676912;17.656025;A;4;219+560;Wrocław;190;62;5;tak;tak;tak;tak;tak;tak;tak;tak;tak;tak;nie;tak;tak;tak;nie;nie;nie;nie
214;Opole;opolskie;GDDKiA;Rzędziwojowice;Rzędziwojowice;MOP funkcja komercyjna;MOP funkcja komercyjna;50.67699;17.651739;A;4;219+060;Katowice;163;49;2;tak;tak;tak;nie;tak;tak;tak;tak;tak;tak;nie;tak;tak;tak;nie;nie;nie;nie
215;Opole;opolskie;GDDKiA;Przysiecz;Przysiecz;MOP funkcja podstawowa;MOP funkcja podstawowa;50.568684;17.8598851;A;4;238+310;Katowice;34;56;0;tak;nie;nie;nie;tak;tak;tak;nie;tak;nie;nie;nie;tak;tak;nie;nie;nie;tak
216;Opole;opolskie;GDDKiA;Prószków;Prószków;MOP funkcja podstawowa;MOP funkcja podstawowa;50.569719;17.861423;A;4;238+310;Wrocław;51;54;0;tak;nie;nie;nie;nie;tak;tak;nie;tak;nie;nie;nie;tak;tak;nie;nie;nie;tak
217;Opole;opolskie;GDDKiA;Wysoka;Wysoka;MOP funkcja komercyjna;MOP funkcja komercyjna;50.462665;18.160492;A;4;264+700;Wrocław;158;33;0;tak;tak;tak;tak;tak;tak;tak;tak;tak;tak;nie;tak;tak;tak;nie;nie;nie;nie
218;Opole;opolskie;GDDKiA;Góra Św. Anny;Góra Św. Anny;MOP funkcja komercyjna;MOP funkcja komercyjna;50.461227;18.16082;A;4;264+700;Katowice;97;27;0;tak;tak;tak;nie;tak;tak;tak;tak;tak;nie;nie;tak;tak;tak;nie;nie;nie;nie
219;Poznań;wielkopolskie;Koncesjonariusz - AWSA;Nowy Tomyśl;Wytomyśl;MOP funkcja podstawowa;MOP funkcja podstawowa;52.368156;16.190126;A;2;114+000;Berlin;25;12;3;tak;nie;nie;nie;tak;nie;tak;nie;tak;nie;nie;nie;nie;nie;nie;nie;nie;nie
220;Poznań;wielkopolskie;Koncesjonariusz - AWSA;Nowy Tomyśl;Kozielaski;MOP funkcja podstawowa;MOP funkcja podstawowa;52.367281;16.189745;A;2;114+000;Poznań;25;12;3;tak;nie;nie;nie;tak;nie;tak;nie;tak;nie;nie;nie;nie;nie;nie;nie;nie;nie
221;Poznań;wielkopolskie;Koncesjonariusz - AWSA;Szamotuły;Sędzinko;MOP funkcja komercyjna;MOP funkcja komercyjna;52.387966;16.47471;A;2;133+600;Berlin;53;23;3;tak;tak;tak;nie;tak;nie;tak;nie;tak;tak;nie;nie;nie;tak;nie;nie;nie;nie
222;Poznań;wielkopolskie;Koncesjonariusz - AWSA;Szamotuły;Zalesie;MOP funkcja komercyjna;MOP funkcja komercyjna;52.386483;16.476427;A;2;133+800;Poznań;48;18;3;tak;tak;tak;nie;tak;nie;tak;nie;tak;tak;nie;nie;nie;tak;nie;nie;nie;nie
223;Poznań;wielkopolskie;Koncesjonariusz - AWSA;Poznański;Dopiewiec;MOP funkcja podstawowa;MOP funkcja podstawowa;52.350472;16.71466;A;2;151+000;Berlin;25;12;3;tak;nie;nie;nie;tak;nie;tak;nie;tak;nie;nie;nie;nie;nie;nie;nie;nie;nie
224;Poznań;wielkopolskie;Koncesjonariusz - AWSA;Poznański;Konarzewo;MOP funkcja podstawowa;MOP funkcja podstawowa;52.34946;16.714763;A;2;151+000;Poznań;25;12;3;tak;nie;nie;nie;tak;nie;tak;nie;tak;nie;nie;nie;nie;nie;nie;nie;nie;nie
225;Poznań;wielkopolskie;Koncesjonariusz - AWSA;Poznański;Tulce;MOP funkcja komercyjna;MOP funkcja komercyjna;52.32964;17.091342;A;2;177+100;Poznań;42;33;3;tak;tak;tak;nie;tak;nie;tak;nie;tak;tak;nie;nie;nie;tak;nie;nie;nie;nie
226;Poznań;wielkopolskie;Koncesjonariusz - AWSA;Poznański;Krzyżowniki;MOP funkcja komercyjna;MOP funkcja komercyjna;52.327306;17.093756;A;2;177+250;Warszawa;45;23;3;tak;tak;tak;nie;tak;nie;tak;nie;tak;tak;nie;nie;nie;tak;nie;nie;nie;nie
